Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
614,0,,,,,0.055,0.12,,
615,0,,,,,0.055,0.12,,
616,0,,,,,0.055,0.121,,
617,0,,,,,0.055,0.124,,
618,0,,,,,0.055,0.119,,
619,0,,,,,0.055,0.121,,
620,0,,,,,0.055,0.124,,
621,0,,,,,0.055,0.122,,
622,0,,,,,0.055,0.119,,
623,0,,,,,0.055,0.121,,
624,0,,,,,0.055,0.123,,
625,0,,,,,0.055,0.118,,
626,0,,,,,0.055,0.122,,
627,0,,,,,0.055,0.115,,
628,0,,,,,0.055,0.124,,
629,0,,,,,0.055,0.116,,
630,0,,,,,0.055,0.12,,
631,0,,,,,0.055,0.121,,
632,0,,,,,0.055,0.121,,
633,0,,,,,0.055,0.117,,
634,0,,,,,0.055,0.124,,
635,0,,,,,0.055,0.12,,
636,0,,,,,0.055,0.12,,
637,0,,,,,0.055,0.12,,
638,0,,,,,0.055,0.127,,
639,0,,,,,0.055,0.121,,
640,0,,,,,0.055,0.119,,
641,0,,,,,0.055,0.122,,
642,0,,,,,0.055,0.123,,
643,0,,,,,0.055,0.122,,
644,0,,,,,0.055,0.116,,
645,0,,,,,0.055,0.12,,
646,0,,,,,0.055,0.119,,
647,0,,,,,0.055,0.116,,
648,0,,,,,0.055,0.125,,
649,0,,,,,0.055,0.109,,
650,0,,,,,0.055,0.125,,
651,1,,Black,,,0.055,0.125,,0.002
652,1,,Black,,,0.055,0.125,,0.002
653,1,,Black,,,0.055,0.125,,0.003
654,1,,Black,,,0.055,0.133,,0.004
655,1,,Black,,,0.055,0.124,,0.005
656,1,,Black,,,0.055,0.121,,0.005
657,1,,Black,,,0.055,0.123,,0.006
658,1,,Black,,,0.055,0.128,,0.006
659,2,,Black,,Black,0.055,0.123,,0.011
660,1,,Black,,,0.055,0.125,,0.006
661,1,,Black,,,0.055,0.124,,0.006
662,1,,Black,,,0.055,0.124,,0.007
663,1,,Black,,,0.055,0.124,,0.007
664,1,,Black,,,0.055,0.122,,0.007
665,1,,Black,,,0.055,0.13,,0.007
666,1,,Black,,,0.055,0.125,,0.006
667,1,,Black,,,0.055,0.122,,0.006
668,1,,Black,,,0.055,0.122,,0.007
669,1,,Black,,,0.055,0.125,,0.006
670,1,,Black,,,0.055,0.122,,0.006
671,1,,Black,,,0.055,0.124,,0.006
672,1,,Black,,,0.055,0.123,,0.006
673,1,,Black,,,0.055,0.123,,0.007
674,1,,Black,,,0.055,0.126,,0.006
675,1,,Black,,,0.055,0.128,,0.005
676,1,,Black,,,0.055,0.119,,0.003
677,1,,Black,,,0.055,0.126,,0.004
678,1,,Black,,,0.055,0.126,,0.003
679,1,,Black,,,0.055,0.123,,0.003
680,0,,,,,0.055,0.125,,
681,0,,,,,0.055,0.119,,
682,0,,,,,0.055,0.116,,
683,0,,,,,0.055,0.116,,
684,0,,,,,0.055,0.125,,
685,0,,,,,0.055,0.123,,
686,0,,,,,0.055,0.123,,
687,0,,,,,0.055,0.122,,
688,0,,,,,0.055,0.12,,
689,0,,,,,0.055,0.121,,
690,0,,,,,0.055,0.121,,
691,0,,,,,0.055,0.116,,
692,0,,,,,0.055,0.119,,
693,0,,,,,0.055,0.15,,
694,0,,,,,0.055,0.117,,
695,0,,,,,0.055,0.125,,
696,0,,,,,0.055,0.121,,
697,0,,,,,0.055,0.124,,
698,0,,,,,0.055,0.12,,
699,0,,,,,0.055,0.122,,
700,0,,,,,0.055,0.12,,
701,0,,,,,0.055,0.124,,
702,0,,,,,0.055,0.116,,
703,0,,,,,0.055,0.12,,
704,0,,,,,0.055,0.123,,
