Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
598,1,hatchback,Silver,,,0,0.117,0.078,0.016
599,1,hatchback,Silver,,,0,0.131,0.094,0.016
600,1,hatchback,Silver,,,0,0.123,0.094,0.016
601,1,hatchback,Silver,,,0,0.125,0.094,0.0
602,0,,,,,0,0.12,,
603,0,,,,,0,0.122,,
604,0,,,,,0,0.12,,
605,0,,,,,0,0.124,,
606,0,,,,,0,0.121,,
607,0,,,,,0,0.121,,
608,0,,,,,0,0.121,,
609,0,,,,,0,0.121,,
610,0,,,,,0,0.121,,
611,0,,,,,0,0.12,,
612,0,,,,,0,0.126,,
613,0,,,,,0,0.118,,
614,0,,,,,0,0.12,,
615,0,,,,,0,0.12,,
616,0,,,,,0,0.121,,
617,0,,,,,0,0.124,,
618,0,,,,,0,0.119,,
619,0,,,,,0,0.121,,
620,0,,,,,0,0.124,,
621,0,,,,,0,0.122,,
622,0,,,,,0,0.119,,
623,0,,,,,0,0.121,,
624,0,,,,,0,0.123,,
625,0,,,,,0,0.118,,
626,0,,,,,0,0.122,,
627,0,,,,,0,0.115,,
628,0,,,,,0,0.124,,
629,0,,,,,0,0.116,,
630,0,,,,,0,0.12,,
631,0,,,,,0,0.121,,
632,0,,,,,0,0.121,,
633,0,,,,,0,0.117,,
634,0,,,,,0,0.124,,
635,0,,,,,0,0.12,,
636,0,,,,,0,0.12,,
637,0,,,,,0,0.12,,
638,0,,,,,0,0.127,,
639,0,,,,,0,0.121,,
640,0,,,,,0,0.119,,
641,0,,,,,0,0.122,,
642,0,,,,,0,0.123,,
643,0,,,,,0,0.122,,
644,0,,,,,0,0.116,,
645,0,,,,,0,0.12,,
646,0,,,,,0,0.119,,
647,0,,,,,0,0.116,,
648,0,,,,,0,0.125,,
649,0,,,,,0,0.109,,
650,0,,,,,0,0.125,,
651,1,hatchback,Black,,,0,0.125,0.094,0.0
652,1,hatchback,Black,,,0,0.125,0.109,0.016
653,1,hatchback,Black,,,0,0.125,0.078,0.0
654,1,hatchback,Black,,,0,0.133,0.109,0.016
655,1,hatchback,Black,,,0,0.124,0.109,0.016
656,1,hatchback,Black,,,0,0.121,0.109,0.016
657,1,hatchback,Black,,,0,0.123,0.094,0.0
658,1,hatchback,Black,,,0,0.128,0.094,0.016
659,2,hatchback,Black,hatchback,Black,0,0.123,0.187,0.031
660,1,hatchback,Black,,,0,0.125,0.094,0.016
661,1,hatchback,Black,,,0,0.124,0.109,0.016
662,1,hatchback,Black,,,0,0.124,0.1,0.016
663,1,hatchback,Black,,,0,0.124,0.112,0.016
664,1,hatchback,Black,,,0,0.122,0.109,0.031
665,1,hatchback,Black,,,0,0.13,0.094,0.016
666,1,hatchback,Black,,,0,0.125,0.094,0.016
667,1,hatchback,Black,,,0,0.122,0.109,0.016
668,1,hatchback,Black,,,0,0.122,0.637,0.016
669,1,hatchback,Black,,,0,0.125,0.109,0.016
670,1,hatchback,Black,,,0,0.122,0.094,0.031
671,1,hatchback,Black,,,0,0.124,0.109,0.016
672,1,sedan,Black,,,0,0.123,0.094,0.016
673,1,sedan,Black,,,0,0.123,0.109,0.016
674,1,hatchback,Black,,,0,0.126,0.109,0.016
675,1,hatchback,Black,,,0,0.128,0.125,0.016
676,1,hatchback,Black,,,0,0.119,0.078,0.016
677,1,hatchback,Black,,,0,0.126,0.125,0.0
678,1,hatchback,Black,,,0,0.126,0.126,0.016
679,1,hatchback,Black,,,0,0.123,0.109,0.0
680,0,,,,,0,0.125,,
681,0,,,,,0,0.119,,
682,0,,,,,0,0.116,,
683,0,,,,,0,0.116,,
684,0,,,,,0,0.125,,
685,0,,,,,0,0.123,,
686,0,,,,,0,0.123,,
687,0,,,,,0,0.122,,
688,0,,,,,0,0.12,,
689,0,,,,,0,0.121,,
690,0,,,,,0,0.121,,
691,0,,,,,0,0.116,,
692,0,,,,,0,0.119,,
693,0,,,,,0,0.15,,
694,0,,,,,0,0.117,,
